Location,Date,Water Level
Quang Binh,"December 14, 2022",1.5
Ha Tinh,"Sept 28, 2022",1.5
Thua Thien Hue,"Oct 15, 2022",1.5
Da Nang City,"Oct 15, 2022",1.5
Quang Ngai,"Oct 11, 2022",0.7
Quang Ngai,"Oct 11, 2022",0.7
Quang Ngai,"Oct 11, 2022",0.7
Quang Ngai,"Oct 10, 2022",0.7
Quang Ngai,"Oct 10, 2022",0.7
Quang Ngai,"Oct 10, 2022",0.7
Son La,"Aug 24, 2021",3.5
Nghe An,"Nov 2, 2020",4.67
Ha Tinh,"Nov 2, 2020",4.67
Nghe An,"Oct 31, 2020",6.86
Ha Tinh ,Oct 31,8.54
Ha Tinh ,"Oct 31, 2020",4.77
Ha Tinh ,"Oct 30, 2020",5.06
Ha Tinh ,"Oct 30, 2020",7.66
Ha Tinh ,"Oct 30, 2020",3.86
Ha Tinh ,"Oct 29, 2020",12.28
Quang Nam,"Oct 29, 2020",8.75
Quang Tri,"Oct 29, 2020",4.03
Quang Binh,"Oct 29, 2020",2.1
Khanh Hoa,"Nov 4, 2017",0.9
Dong Nai,"Nov 3, 2017",0.7
Thua Thien Hue,"Oct 16, 2016",4
Thua Thien Hue,"Oct 15, 2016",4
Thua Thien Hue,"Oct 14, 2016",4
Thua Thien Hue,"Oct 13, 2016",4
Khanh Hoa,"Nov 4, 2015",1